ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,S
73,0.01,0.71,0.08,1.13,0.11,0.02,0.42,1.66,0.29,0.02,0.03,0.03,0.01,0.06,1.42,0.03,0.01,0.02,0.0,0.19,0.05,-5.33,0.25,5.15,0.4,0.07,2.71,2.33,0.0,1.66,6.4,0.39,0.0,0.12,0.01,0.16,1.05,0.04,0.03,0.97,0.61,0.92,1.23,11102.07,0.03,0.34,34.34,2.93,2.73,5.16,0.02,0.68,2.11,0.01,0.01,0.02,0.12,0.02,-0.91,0.02,0.59,0.0,0.01,0.0,0.0,570.32,9146.18,3826.9,8621.7,168.18,523.84,0.89,0.89,0.96,0.98,1.33,2.02,0.84,0.97,0.92,-0.1,0.13,1
139,0.07,0.63,0.18,1.32,0.08,0.1,0.6,3.09,0.37,0.1,0.17,0.04,0.03,0.19,1.6,0.16,0.03,0.1,0.02,0.3,0.16,-18.12,0.71,4.31,0.2,0.27,5.31,4.78,3.09,3.09,9.76,0.44,1.0,0.24,0.03,0.58,1.09,0.12,0.04,1.19,0.56,1.46,1.71,3674.0,0.2,0.17,23.91,6.4,5.48,12.07,0.02,1.6,0.5,0.05,0.02,0.07,0.74,0.08,1.34,0.06,0.47,0.0,0.01,0.0,0.06,1023.07,3886.33,3122.01,3857.9,382.05,1494.84,1.04,1.03,1.31,1.44,1.47,5.64,3.32,1.27,1.36,5.19,-0.5,1
175,0.06,0.52,0.05,1.14,0.05,0.08,0.92,1.8,0.48,0.11,0.23,0.1,0.06,0.34,1.92,0.2,0.05,0.11,0.03,0.43,0.3,-4.47,0.08,4.4,0.29,0.22,4.9,3.31,1.8,1.82,1.8,0.65,1.0,0.12,0.06,0.65,0.87,0.19,0.11,0.77,0.35,0.8,1.08,1209.0,0.13,0.35,18.99,6.88,5.13,3.0,-0.03,0.74,1.15,0.08,0.05,0.16,0.5,0.24,-4.77,0.21,0.8,0.0,0.01,0.0,0.0,711.27,4163.5,1778.37,3245.6,341.42,568.24,1.0,0.93,0.92,0.82,6.3,-778.7,0.97,0.88,0.73,0.8,-0.58,1
290,0.22,0.3,0.41,2.98,0.22,0.29,2.26,2.28,0.68,0.29,1.38,0.14,0.14,1.06,3.31,0.91,0.13,0.27,0.1,0.46,0.85,-48.61,1.08,3.55,0.07,0.4,9.71,6.68,0.0,2.29,6.42,0.78,0.0,0.92,0.12,17.6,2.92,0.31,0.14,2.05,0.21,1.79,2.03,1455.37,0.32,0.14,181.75,5.52,11.0,5.99,0.2,1.92,0.3,0.12,0.05,0.38,1.22,0.55,0.94,0.19,0.42,0.0,0.01,0.0,0.14,1864.84,4433.85,4108.99,4624.25,1270.52,3331.43,1.15,1.2,1.08,1.22,0.86,1.63,1.71,0.97,1.09,-0.75,-2.44,1
21,0.04,0.66,0.21,1.36,0.05,0.07,0.51,5.88,0.34,0.06,0.12,0.01,0.01,0.12,1.51,0.09,0.01,0.06,0.01,0.29,0.08,7.66,1.14,5.32,0.09,0.18,9.76,8.78,0.0,5.88,9.01,0.4,0.0,0.3,0.01,0.2,1.01,0.07,0.01,1.22,0.6,1.79,2.14,45189.18,0.13,0.2,27.88,13.97,9.85,31.24,0.0,0.3,0.08,0.14,0.02,0.21,2.12,0.24,1.03,0.17,2.35,0.0,0.15,0.01,0.06,1053.75,5133.23,4983.84,5897.03,354.37,1883.05,1.07,1.07,1.16,1.07,0.71,4.27,0.7,1.1,1.14,-3.17,52.03,2
43,0.03,0.7,0.04,1.08,0.0,0.09,0.45,1.62,0.32,0.06,0.2,0.09,0.04,0.2,1.42,0.09,0.06,0.06,0.02,0.32,0.11,1.94,0.07,5.44,0.37,0.2,3.44,2.28,0.15,1.66,0.99,0.55,0.09,0.21,0.04,0.12,0.51,0.11,0.07,0.71,0.47,0.63,1.11,9827.0,0.1,0.75,6.1,11.78,3.48,3.25,-0.15,0.19,0.27,0.16,0.1,0.23,0.69,0.35,8.09,0.33,2.63,0.0,0.0,0.0,0.15,671.03,2252.92,1987.72,3412.99,212.31,425.51,0.9,0.9,0.99,0.92,1.2,1.92,0.93,0.76,0.98,1.44,8.52,2
45,0.14,0.39,0.54,2.97,0.46,0.18,1.57,2.04,0.61,0.17,0.67,0.1,0.09,0.55,2.57,0.43,0.09,0.17,0.07,0.15,0.42,11.44,2.9,5.32,0.18,0.28,6.84,4.81,0.0,2.04,1.77,0.73,0.0,0.15,0.08,0.22,0.75,0.2,0.1,2.09,0.27,3.28,3.9,113528.9,0.22,0.19,3.35,12.41,7.45,10.94,-0.04,7.64,1.62,0.02,0.01,0.05,0.15,0.06,-3.06,0.02,0.1,0.0,0.0,0.0,0.0,2195.76,7302.89,6794.82,7949.28,1342.35,7205.41,1.11,1.08,1.09,1.09,1.63,8.06,1.06,1.29,1.08,-0.32,-1.14,2
63,0.08,0.65,0.17,1.37,0.04,0.09,0.54,2.2,0.35,0.12,0.2,0.06,0.06,0.21,1.54,0.19,0.04,0.12,0.03,0.31,0.19,-4.2,0.47,5.09,0.29,0.34,4.53,3.22,0.0,2.21,2.19,0.54,0.0,0.06,0.05,0.35,0.89,0.17,0.08,0.97,0.46,0.95,1.47,21232.7,0.22,0.54,9.94,5.7,4.75,6.0,-0.02,8.58,5.11,0.01,0.0,0.01,0.05,0.02,-0.68,0.01,0.07,0.0,0.01,0.0,0.07,2551.89,9688.92,5365.42,7402.06,891.4,2431.33,1.18,1.16,1.01,1.05,1.77,7.9,1.08,1.08,1.02,0.13,-0.41,2
68,0.08,0.34,0.15,1.58,0.32,0.12,1.96,0.72,0.66,0.11,0.45,0.24,0.16,0.5,2.95,0.3,0.16,0.1,0.12,0.34,0.4,11.55,0.25,5.57,0.22,0.15,2.4,1.82,0.18,0.72,4.69,0.74,0.26,0.88,0.14,4.08,1.5,0.16,0.22,1.2,0.26,1.12,1.25,54632.0,0.12,0.12,35.46,4.52,2.79,1.21,0.23,1.36,0.89,0.06,0.08,0.18,0.74,0.24,1.64,0.15,0.6,0.0,0.01,0.01,0.02,2481.84,14120.06,10570.48,16179.51,1645.23,2767.33,1.15,1.12,1.12,1.21,1.3,6.34,0.76,1.29,1.1,1.31,1.7,2
95,0.16,0.4,0.5,2.52,0.48,0.2,1.51,1.32,0.6,0.2,0.62,0.18,0.18,0.58,2.51,0.5,0.15,0.2,0.12,0.12,0.47,50.96,2.87,5.02,0.24,0.33,3.44,2.83,0.46,1.33,3.85,0.67,0.35,0.26,0.15,0.29,0.83,0.23,0.17,2.08,0.33,3.47,3.87,52409.0,0.26,0.12,2.38,7.15,4.04,7.63,-0.05,1.33,0.23,0.12,0.09,0.3,1.7,0.36,3.8,0.14,0.6,0.0,0.0,0.0,0.14,1874.46,5511.58,4938.43,5626.05,1128.32,6502.15,1.21,1.19,1.06,1.01,1.39,5.31,0.95,0.98,1.01,-21.75,4.94,2
