woord,suggestie_1,suggestie_2,suggestie_3,suggestie_4
aanhouden,de beslissing in de zaak uitstellen,,,
addendum,bijlage,,,
adstrueren,verduidelijken,toelichten,bewijzen,
alsdan,dan,alleen als,,
appel,hoger beroep,,,
beogen,bedoelen,willen,proberen,
bescheiden,papieren,documenten,stukken,
beweerdelijk,gesteld,,,
blijkens,zoals blijkt uit,,,
bovengenoemd / bovenvermeld,het/de hiervoor genoemde,,,
bovenstaand,deze,dit,wat hierboven staat,
conform,zoals,volgens,kloppend met,
criterium,norm,richtlijn,vereiste,eis
casu quo,en,of,,
daarenboven,behalve dat,bovendien,,
de dato,op,van,,
deponeren,plaatsen,neerleggen,indienen,(laten) opslaan
derven,mislopen,verliezen,,
destijds,toen,,,
dienen te,moeten,,,
doen toekomen,toesturen,opsturen,sturen,
eerst,pas,pas als,,
eerstbedoeld,die,dat,,
eerstens,als eerste,,,
evenbedoeld(e),dit,deze,,
evenwel,maar,toch,,
evenzeer / evenzo,ook,net zo,,
evident,(meteen) duidelijk,,,
ex (artikel),volgens,vanuit,,
ex nunc,vanaf nu,,,
expireren,aflopen,eindigen,ophouden,vervallen
explicatie,uitleg,,,
expliciet,uitdrukkelijk,nadrukkelijk,,
formaliteit,voor de vorm,omdat het moet,,
geëigend,geschikt,passend,,
geenszins,(zeker) niet,,,
gelet op (het feit dat...),omdat,,,
genoegzaam,voldoende,algemeen,tevreden,
gezien,daarom,vanwege,,
hangende (besluitvorming),zolang  nog niet is besloten over,,,
heden,vandaag,nu,,
hetgeen,dat wat,wat,,
hieromtrent,hierover,,,
hiertoe,hiervoor,,,
immers,want,toch,ook,namelijk
impliciet,niet duidelijk,zonder nadruk,,
in acht nemen,voldoen aan,letten op,,
indien / ingeval,als,wanneer,,
jegens,over,tegenover,,
juncto,samen met,,,
jurisprudentie,eerdere rechtspraak,,,
laatstbedoeld,deze,dit,,
litigieus,betwist,twijfelachtig,,
locatie,plaats,plek,gebouw,
maatgevend,bepalend,beslissend,,
mede,ook,onder andere,,
mededelen,meedelen,bekend maken,,
meerdere,meer,verschillende,meer dan 1,
meergenoemd,al eerder genoemd,,,
mitsdien,daarom,dus,,
navolgende,volgende,,,
niettegenstaande,ondanks,,,
nopen,nodig zijn,nodig maken,dwingen,
ofschoon,hoewel,toch,maar,
om niet,gratis,,,
om reden van,omdat,,,
ondanks het feit dat,hoewel,(maar) toch,,
onderbouwing,toelichting,uitleg,,
onderhavig(e),dit,deze,,
onderscheidenlijk,of,in de volgorde van (als je een precieze volgorde bedoelt),duidelijk,
op na te volgen wijze,op de volgende manier,,,
partieel,gedeeltelijk,,,
pogen,proberen,,,
precedent,voorbeeld dat later gevolgd kan worden,verkeerd voorbeeld,het eerder gebeurde,
prevaleren,voorgaan,gaan boven,kiezen,
preventief,om ... te voorkomen,,,
primair (behalve bij onderwijs),in de eerste plaats,belangrijkste,eerste,
pro forma,voor de vorm,zonder te zeggen waarom het gaat,zonder gronden in te dienen,
projecteren,plannen (werkwoord),het plan is om .... te bouwen (omschrijven),,
prolongeren,verlengen,,,
rechtens,volgens het recht,rechtmatig,,
respectievelijk,en,of,in die volgorde,
schrijven,brief,,,
sedert,sinds,vanaf,,
successievelijk,na elkaar,achtereenvolgens,,
te (plaatsnaam),in (plaatsnaam),,,
te meer daar,(zeker) omdat,,,
ten tijde van,toen,op het moment van,,
teneinde,om,,,
ter zake,over,,,
ter zitting,op / tijdens de zitting,,,
terdege,uiteraard,wel,nauwkeurig,
thans,nu,,,
toekomen (doen -),toesturen,opsturen,sturen,
toentertijd,toen,,,
trachten,proberen,,,
valide,geldig,krachtig,betrouwbaar,waar
van mening zijn,vinden,,,
veelal / veelvuldig,vaak,,,
verdagen,uitstellen (van een zitting of een besluit),,,
verhandelde ter zitting,wat besproken is op de zitting,,,
verlenen,geven,toestaan,,
verplicht zijn om,moeten,,,
verschuldigd zijn,moeten betalen,,,
verwerven,kopen,krijgen,verdienen,
verzuimen,niet doen wat moet gebeuren,,,
vigeren(d),gelden(d),,,
voldoen,betalen,,,
vooraleer,voordat,,,
vooralsnog,voorlopig,tot nu toe,,
voorheen,vroeger,eerder,,
voorliggen,te beantwoorden,te behandelen,,
voorliggend,dit,deze,,
voormeld / voornoemd,eerder genoemd,,,
voornemens,van plan,,,
voorshands,voorlopig,(voor) nu,,
voorts,verder,en,ook,bovendien
voorzien (in),mogelijk maken,plannen,,
vorenbedoelde / vorenstaande,dit,deze,eerder genoemd,
waterscheiding,sloot,,,
wederom,(al)weer,opnieuw,,
wederpartij,de andere partij,,,
wederrechtelijk,in strijd met het recht,,,
werkzaam zijn,werken,,,
willens en wetens,bewust,met opzet,toch,
woonachtig zijn,wonen,,,
zich verstaan met,overleggen met,,,
zien op,gaan over,,,
zijdens,door,vanuit,van de kant van,
zodanig,zo,,,
zodanige,zo'n,,,
zodoende,dus,zo,,
zonder uitzondering,altijd,helemaal,iedereen,
