woord,suggestie_1,suggestie_2,suggestie_3,suggestie_4
aan de hand van,met,door,,
a priori,vooraf,,,
aanbieden (van afval),neerzetten,,,
aandachtig,goed,,,
aangaande,over,,,
aangezien,omdat,,,
aanhangsel,bijlage,,,
aanhouden,de beslissing uitstellen,,,
aanmerkelijk,groot,belangrijk,vrij sterk,
aansturen,leiding geven,sturen,,
aantrekken (personeel),mensen in dienst nemen,,,
aanvang,begin,start,,
aanvankelijk,eerst,eerder,,
aanvliegen,benaderen,aanpakken,,
abusievelijk,per ongeluk,door een vergissing,,
accentverleggingen,op andere dingen letten,nadruk leggen op,stoppen,
acceptatie,goedkeuring,,,
accommodatie,gebouw,locatie,,
accorderen,instemmen met,,,
achten,vinden,,,
activiteiten voortzetten,doorgaan,,,
actualiseren,bijwerken,aanpassen,moderniseren,
actualiseren,aanpassen,moderniseren,,
acuut,direct,onmiddellijk,,
ad,van,tegen een bedrag van,,
ad hoc,direct,plaatselijk,tijdelijk,
addendum,bijlage,,,
additioneel,toegevoegd,extra,,
adequate,passend,juist,,
adhesie,instemming,steun,,
adhesie betuigen,instemmen,steunen,,
adstrueren,verduidelijken,toelichten,bewijzen,
afdoening,afhandelen,afsluiten,,
affirmatief,bevestigend,,,
afgezien van,behalve,,,
afronden,afmaken,beëindigen,,
aftikken,controleren,beëindigen,,
afvloeiing,vermindering,,,
al dan niet,of,wel of niet,,
aldaar,daar,op die plaats,,
aldus,zo,op die manier,,
alloceren,toewijzen,,,
alom,overal,,,
als gevolg van,door(dat),,,
als ware,als,alsof,,
als zodanig,zo,,,
alsdan,dan,alleen dan,,
alsmede,ook,en,,
alvorens,voordat,,,
ambitie,doel,streven,voornemen,wens
ambivalent,dubbel,twijfel,,
amendement,wijziging in officiële (wet)tekst,,,
amotie,sloop,,,
amoveren,slopen,,,
ampel,uitgebreid,,,
analoog aan,zoals,vergelijkbaar met,,
anciënniteit,rangorde,plaats op wachtlijst (hoger of lager),,
andermaal,opnieuw,weer,,
anderzijds,aan de andere kant,,,
animo,belangstelling,,,
annonce,aankondiging,,,
anticiperen,verwachten,vooruit lopen op,,
appel,hoger beroep,,,
appellant,partij die in hoger beroep gaat,protesterende,,
appelleren,in hoger beroep gaan,protesteren,,
appelleren aan,een beroep doen op,aanspreken,,
assetmanagement,bedrijfsmiddelenbeheer,,,
assets,bedrijfsmiddelen,kapitaal,bezit,
autonoom,zelfstandig,onafhankelijk,,
beduidend,nogal,aanzienlijk,,
behelzen,gaat over,bevatten,inhouden,
behoefte bestaat aan,(..) is nodig,(..) is gevraagd,,
behoeven,nodig zijn,willen,,
bekomen,krijgen,,,
belanghebbende,betrokken persoon,betrokkene,,
beleidsimpuls,goed plan,extra aandacht geven,,
beleidsintensiveringen,meer geld (uit)geven aan,,,
benchmarking,(prestaties) vergelijken,,,
benevens,en,ook,,
beogen,bedoelen,willen,proberen,
beoogde,bedoelde,gewenste,,
bescheiden,papieren,documenten,stukken,
beslag krijgen,gebeuren,,,
betreffende,over,onderwerp,,
betreft,over,onderwerp,,
betuigen,verklaren,,,
bewerkstelligen,zorgen voor,doen,,
beweerderlijk,gesteld,,,
bezien,bekijken,,,
bezigen,doen,aan iets werken,,
bezoldigd,betaald,,,
bij brief,schriftelijk,met de brief van (..),,
bij deze(n),hierbij,,,
bij gelegenheid,bij,voor,,
bij wijze van,als,op die manier,,
bijdrage leveren,meewerken,betalen,,
bijeen,samen,bij elkaar,,
